"Oturum ülkesi","Oturum bölgesi","Oturum şehri","Online mağaza ziyaretçileri","Oturumlar","Online store visitors (previous_year)","Sessions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) "
"Türkiye","Karabük Province","Karabük",31,38,0,0,,
"Türkiye","Hatay","Arsuz",23,38,0,0,,
"Türkiye","Kırklareli","Lüleburgaz",35,37,0,0,,
"Türkiye","Amasya","Amasya",35,37,0,0,,
"Türkiye","Eskişehir","Odunpazari",33,36,0,0,,
"Türkiye","Erzurum",,35,36,0,0,,
"Türkiye","Osmaniye","Osmaniye",30,35,0,0,,
"Türkiye","Karaman","Merkez",32,35,0,0,,
"Türkiye","Istanbul","Esenyurt",31,34,0,0,,
"Türkiye","Kastamonu","Kastamonu",30,34,0,0,,
"Türkiye","Bursa Province","İnegöl",27,34,0,0,,
"Türkiye","İzmir Province","Bornova",25,33,0,0,,
"Türkiye","Burdur","Burdur",32,33,0,0,,
"Türkiye","Artvin","Artvin",30,32,0,0,,
"Türkiye","Aydın","Kusadasi",28,32,0,0,,
"Türkiye","Kırklareli","Kırklareli",29,32,0,0,,
"Türkiye","Bilecik","Bilecik",31,32,0,0,,
"Türkiye","Adana",,28,31,0,0,,
"Austria","Vienna","Vienna",27,31,0,0,,
"Türkiye","Balıkesir","Panderma",29,30,0,0,,
"Türkiye","Kırşehir","Kırşehir",27,29,0,0,,
"Türkiye","Istanbul","Kadıköy",26,29,0,0,,
"Azerbaijan","Baku City","Baku",22,28,0,0,,
"Türkiye","Istanbul","Beyoğlu",16,28,0,0,,
"France","Île-de-France","Paris",22,28,0,0,,
"Türkiye","Istanbul","Bayrampaşa",23,28,0,0,,
"Türkiye","Istanbul","Esenler",24,27,0,0,,
"Türkiye","Bilecik","Bozüyük",19,27,0,0,,
"Türkiye","Antalya","Alanya",26,27,0,0,,
"Türkiye","Ağrı","Ağrı",19,26,0,0,,
"Italy","Lombardy","Gallarate",23,26,0,0,,
"Türkiye","Şanlıurfa",,25,26,0,0,,
"Italy","Lombardy","Milan",21,25,0,0,,
"Türkiye","Düzce","Düzce",24,25,0,0,,
"Türkiye","Konya","Meram",22,24,0,0,,
"Türkiye","Bursa Province","Yıldırım",16,24,0,0,,
"Türkiye","Yozgat","Yozgat",23,24,0,0,,
"Netherlands","North Holland","Amsterdam",21,23,0,0,,
"France",,,22,23,0,0,,
"Türkiye","Kocaeli","Kartepe",22,23,0,0,,
"Türkiye","Istanbul","Tuzla",21,22,0,0,,
"Türkiye","Manisa","Akhisar",18,21,0,0,,
"Türkiye","Ankara","Sincan",19,21,0,0,,
"Türkiye","Ankara","Aydın",9,21,0,0,,
"Türkiye","Niğde Province","Niğde",21,21,0,0,,
"United States","Oregon","Prineville",20,20,0,0,,
"Türkiye","Eskişehir","Tepebasi",16,20,0,0,,
"United Kingdom","England","City of London",17,19,0,0,,
"Greece","Attica","Athens",4,19,0,0,,
"Türkiye","Kocaeli","Başiskele",18,19,0,0,,
"Türkiye","Erzincan","Erzincan",18,19,0,0,,
"Türkiye","Şırnak","Şırnak",15,19,0,0,,
